epoch;accuracy;s;s_temp
920;0.76;8;9
921;0.8994;7;7
922;0.8902;7;6
923;0.8368;7;8
924;0.6782;7;8
925;0.7582;7;6
926;0.8542;7;8
927;0.7726;8;8
928;0.8896;8;7
929;0.8894;8;9
930;0.8378;7;7
931;0.7392;7;6
932;0.9328;7;8
933;0.8916;8;8
934;0.8512;8;7
935;0.7612;8;9
936;0.801;8;9
937;0.8466;8;7
938;0.7106;8;9
939;0.8138;7;7
940;0.8028;7;6
941;0.8738;7;8
942;0.7872;8;8
943;0.8214;8;7
944;0.8408;8;9
945;0.8852;9;9
946;0.8762;9;8
947;0.8054;9;10
948;0.7994;9;10
949;0.8706;9;8
950;0.789;9;10
951;0.8512;8;8
952;0.7934;8;7
953;0.8494;8;9
954;0.7624;8;9
955;0.8204;8;7
956;0.8464;8;9
957;0.7608;9;9
958;0.788;9;8
959;0.9132;9;10
960;0.8408;10;10
961;0.8112;10;9
962;0.7228;10;11
963;0.6406;10;11
964;0.725;10;9
965;0.713;10;11
966;0.8896;9;9
967;0.8942;9;8
968;0.8564;9;10
969;0.929;8;8
970;0.9444;8;7
971;0.942;8;9
972;0.8316;7;7
973;0.9166;7;6
974;0.88;7;8
975;0.9354;6;6
976;0.9688;6;5
977;0.823;6;7
978;0.991;5;5
979;0.9052;5;4
980;0.7944;5;6
981;0.9;5;6
982;0.9452;5;4
983;0.6298;5;6
984;0.901;4;4
985;0.7934;4;3
986;0.952;4;5
987;0.8896;5;5
988;1;5;4
989;0.851;5;6
990;0.947;4;4
991;0.9854;4;3
992;0.9918;4;5
993;0.9794;5;5
994;1;5;4
995;0.9654;5;6
996;0.7638;4;4
997;0.8014;4;3
998;0.8704;4;5
999;0.9732;5;5
